"distance","probability","n"
14.8860618151971,0.285714285714286,98
37.153830580624,0.291139240506329,79
63.1289316847288,0.247058823529412,85
87.1843817894623,0.164556962025316,79
112.754718130833,0.224719101123595,89
137.304999200181,0.202127659574468,94
163.241146729328,0.150943396226415,106
186.367131632964,0.189473684210526,95
213.085338582044,0.142857142857143,119
237.162008037262,0.188405797101449,138
263.018427310319,0.177777777777778,135
288.210972671728,0.183333333333333,120
312.393439312673,0.180722891566265,166
337.700665655735,0.173913043478261,207
362.511028769128,0.18141592920354,226
386.495347080097,0.197969543147208,197
412.02583992462,0.206422018348624,218
437.590859798562,0.205479452054795,219
462.51062738987,0.203791469194313,211
487.312429315517,0.223175965665236,233
512.52608344156,0.175373134328358,268
538.294012148982,0.156133828996283,269
561.448369893431,0.135245901639344,244
587.912084794739,0.165919282511211,223
613.211502911395,0.187755102040816,245
637.555770321884,0.164179104477612,268
663.112953078483,0.209375,320
687.201318946883,0.126712328767123,292
711.789595463392,0.164609053497942,243
737.809787648162,0.190243902439024,205
762.560291076966,0.175373134328358,268
787.011258486886,0.181818181818182,253
813.79286746761,0.221757322175732,239
837.868087628927,0.207612456747405,289
861.895181633209,0.142857142857143,280
887.652663737024,0.217228464419476,267
911.671751365794,0.198630136986301,292
937.52362100106,0.195121951219512,287
961.993422524761,0.127147766323024,291
987.228247897829,0.174216027874564,287
1012.21368638756,0.195488721804511,266
1037.66957047155,0.15916955017301,289
1062.22376954773,0.173010380622837,289
1087.47641724601,0.171717171717172,297
1112.67377306117,0.204301075268817,279
1137.63344869234,0.156462585034014,294
1162.5622263819,0.197986577181208,298
1188.2545990157,0.218518518518519,270
1212.12047431071,0.234782608695652,230
1238.36176151587,0.198863636363636,176
1261.50946236258,0.136546184738956,249
1287.73086247891,0.147186147186147,231
1312.76465208163,0.199004975124378,201
1337.49633139132,0.180904522613065,199
1362.66643773692,0.166666666666667,228
1387.948751844,0.145669291338583,254
1412.12199052156,0.155080213903743,187
1437.1579169347,0.182608695652174,230
1462.60632987309,0.157205240174672,229
1488.21042677543,0.121338912133891,239
1513.20735616797,0.182926829268293,246
1537.64510846286,0.196850393700787,254
1562.62471556747,0.185022026431718,227
1587.81806864312,0.101123595505618,267
1611.54922305489,0.0967741935483871,186
1638.04954457646,0.106796116504854,206
1662.44676383583,0.151658767772512,211
1686.7623264691,0.13013698630137,146
1712.72745680058,0.167597765363128,179
1736.07803565445,0.136363636363636,132
1762.81344853311,0.1015625,128
1787.30044768716,0.173553719008264,121
1812.35772089296,0.221153846153846,104
1836.48211224095,0.136054421768707,147
1863.07370352173,0.118881118881119,143
1887.49572152548,0.149350649350649,154
1911.37189461749,0.204081632653061,147
1937.36211618717,0.0930232558139535,129
1963.35642956417,0.1796875,128
1987.39875571862,0.168067226890756,119
2013.00921129676,0.144,125
2037.26325528783,0.123711340206186,97
2062.83063858529,0.138613861386139,101
2088.8374779795,0.135416666666667,96
2113.39022530806,0.0909090909090909,88
2136.37720390682,0.166666666666667,114
2163.52622391922,0.155038759689922,129
2185.62358333762,0.2,125
2213.12535305934,0.133928571428571,112
2238.42748733037,0.186567164179104,134
2261.38454932427,0.191666666666667,120
2287.76683823894,0.121951219512195,123
2311.17181633371,0.127272727272727,110
2339.61239088385,0.13,100
2363.08394907967,0.222222222222222,117
2386.61806425712,0.169491525423729,118
2413.65827335695,0.139705882352941,136
2437.43873406967,0.114832535885167,209
2460.76919400464,0.0725806451612903,124
2487.59178634133,0.138461538461538,130
2513.18612985839,0.15,120
2537.10277732046,0.102564102564103,117
2562.67204808209,0.0978260869565217,92
2587.55622660589,0.145833333333333,96
2613.15820416277,0.181818181818182,110
2636.78132698483,0.134020618556701,97
2662.86584157683,0.242424242424242,99
2686.46431351272,0.12,100
2714.30826150683,0.241758241758242,91
2738.08402299156,0.254545454545455,110
2763.30273017621,0.246153846153846,130
2787.97050505463,0.152173913043478,138
2813.13244608982,0.172413793103448,87
2838.36935742599,0.154929577464789,71
2862.81463099702,0.186440677966102,118
2887.85234704185,0.152542372881356,118
2911.0396149598,0.198198198198198,111
2936.57479233038,0.201612903225806,124
2962.99823959487,0.177570093457944,107
2986.55559635456,0.150793650793651,126
3012.65603824211,0.214953271028037,107
3037.70545842593,0.125,136
3062.58766172417,0.185185185185185,108
3086.97621017912,0.202127659574468,94
3111.96593123819,0.13265306122449,98
3136.56865848918,0.15702479338843,121
3161.40756768748,0.161290322580645,93
3187.06395880724,0.244444444444444,90
3213.06004388388,0.164383561643836,73
3237.57476631501,0.111111111111111,90
3262.86229172215,0.2,125
3287.84819278917,0.163793103448276,116
3311.71453206078,0.155172413793103,116
3338.0126160654,0.203883495145631,103
3363.02294947222,0.158415841584158,101
3387.78509440105,0.149659863945578,147
3413.28406081815,0.0625,112
3436.03326611489,0.16260162601626,123
3462.41043607611,0.19811320754717,106
3487.60571753116,0.168421052631579,95
3509.79942568543,0.117647058823529,85
3536.21808889261,0.109375,64
3562.68086056323,0.224137931034483,58
3589.18710554444,0.197183098591549,71
3612.64157019173,0.119402985074627,67
3634.7905439477,0.164556962025316,79
3662.56408213197,0.246575342465753,73
3686.21044227613,0.155172413793103,58
3712.7324757695,0.121212121212121,66
3738.65625767038,0.215189873417722,79
3761.82095685212,0.207317073170732,82
3787.48356146635,0.215686274509804,102
3811.64544380527,0.182795698924731,93
3837.79737132703,0.158730158730159,63
3862.25171699345,0.211111111111111,90
3888.71620218267,0.178571428571429,84
3913.21407699557,0.157142857142857,70
3938.08171617695,0.142857142857143,70
3962.41212299915,0.162162162162162,37
3986.7629816583,0.1875,32
4014.56588253828,0.111111111111111,27
4036.83172429292,0.2,25
4060.72319537742,0.178571428571429,28
4087.28975858139,0.222222222222222,27
4123.82221949071,0,27
4248.49279197203,0.25,23
4377.53253759579,0.327272727272727,21
4667.98537237153,0.3375,20
5006.48212542771,0,1
